"Área Geográfica","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","",""
"Crosstab","","","","","","","","",""
"  de Provincia","","","","","","","","",""
"  por P: Población con discapacidad: Ninguna","","","","","","","","",""
"","","","","","","","","",""
"","Provincia","P: Población con discapacidad: Ninguna","","","","","","",""
"","","Sí, tiene alguna discapacidad","No tiene discapacidad","Total","","","","",""
""," Amazonas, provincia: Bagua","7.88%","92.12%","100.00%","","","","",""
""," Amazonas, provincia: Bongara","12.07%","87.93%","100.00%","","","","",""
""," Amazonas, provincia: Chachapoyas","10.23%","89.77%","100.00%","","","","",""
""," Amazonas, provincia: Condorcanqui","2.23%","97.77%","100.00%","","","","",""
""," Amazonas, provincia: Luya","11.14%","88.86%","100.00%","","","","",""
""," Amazonas, provincia: Rodríguez de Mendoza","10.65%","89.35%","100.00%","","","","",""
""," Amazonas, provincia: Utcubamba","9.55%","90.45%","100.00%","","","","",""
""," Áncash, provincia: Aija","9.42%","90.58%","100.00%","","","","",""
""," Áncash, provincia: Antonio Raymondi","9.85%","90.15%","100.00%","","","","",""
""," Áncash, provincia: Asunción","15.95%","84.05%","100.00%","","","","",""
""," Áncash, provincia: Bolognesi","11.72%","88.28%","100.00%","","","","",""
""," Áncash, provincia: Carhuaz","11.06%","88.94%","100.00%","","","","",""
""," Áncash, provincia: Carlos Fermín Fitzcarrald","11.57%","88.43%","100.00%","","","","",""
""," Áncash, provincia: Casma","10.24%","89.76%","100.00%","","","","",""
""," Áncash, provincia: Corongo","10.30%","89.70%","100.00%","","","","",""
""," Áncash, provincia: Huaraz","10.77%","89.23%","100.00%","","","","",""
""," Áncash, provincia: Huari","10.51%","89.49%","100.00%","","","","",""
""," Áncash, provincia: Huarmey","11.07%","88.93%","100.00%","","","","",""
""," Áncash, provincia: Huaylas","9.56%","90.44%","100.00%","","","","",""
""," Áncash, provincia: Mariscal Luzuriaga","13.11%","86.89%","100.00%","","","","",""
""," Áncash, provincia: Ocros","12.90%","87.10%","100.00%","","","","",""
""," Áncash, provincia: Pallasca","8.26%","91.74%","100.00%","","","","",""
""," Áncash, provincia: Pomabamba","9.37%","90.63%","100.00%","","","","",""
""," Áncash, provincia: Recuay","13.67%","86.33%","100.00%","","","","",""
""," Áncash, provincia: Santa","12.76%","87.24%","100.00%","","","","",""
""," Áncash, provincia: Sihuas","9.05%","90.95%","100.00%","","","","",""
""," Áncash, provincia: Yungay","9.56%","90.44%","100.00%","","","","",""
""," Apurímac, provincia: Abancay","10.29%","89.71%","100.00%","","","","",""
""," Apurímac, provincia: Andahuaylas","10.71%","89.29%","100.00%","","","","",""
""," Apurímac, provincia: Antabamba","13.55%","86.45%","100.00%","","","","",""
""," Apurímac, provincia: Aymaraes","12.49%","87.51%","100.00%","","","","",""
""," Apurímac, provincia: Chincheros","9.76%","90.24%","100.00%","","","","",""
""," Apurímac, provincia: Cotabambas","10.31%","89.69%","100.00%","","","","",""
""," Apurímac, provincia: Grau","14.13%","85.87%","100.00%","","","","",""
""," Arequipa, provincia: Arequipa","11.05%","88.95%","100.00%","","","","",""
""," Arequipa, provincia: Camaná","9.72%","90.28%","100.00%","","","","",""
