"Área Geográfica","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","",""
"Crosstab","","","","","","","","",""
"  de Provincia","","","","","","","","",""
"  por P: Población con discapacidad: Ninguna","","","","","","","","",""
"","","","","","","","","",""
"","Provincia","P: Población con discapacidad: Ninguna","","","","","","",""
"","","Sí, tiene alguna discapacidad","No tiene discapacidad","Total","Porcentaje ","","","",""
""," Amazonas, provincia: Bagua","00 000 000 005 840","00 000 000 068 260","00 000 000 074 100","7.8812415654521","","","",""
""," Amazonas, provincia: Bongara","00 000 000 003 095","00 000 000 022 542","00 000 000 025 637","12.072395366072","","","",""
""," Amazonas, provincia: Chachapoyas","00 000 000 005 681","00 000 000 049 825","00 000 000 055 506","10.234929557165","","","",""
""," Amazonas, provincia: Condorcanqui","00 000 000 000 946","00 000 000 041 524","00 000 000 042 470","2.2274546738875","","","",""
""," Amazonas, provincia: Luya","00 000 000 004 948","00 000 000 039 488","00 000 000 044 436","11.135115671978","","","",""
""," Amazonas, provincia: Rodríguez de Mendoza","00 000 000 003 195","00 000 000 026 803","00 000 000 029 998","10.650710047336","","","",""
""," Amazonas, provincia: Utcubamba","00 000 000 010 239","00 000 000 096 998","00 000 000 107 237","9.548010481457","","","",""
""," Áncash, provincia: Aija","00 000 000 000 595","00 000 000 005 721","00 000 000 006 316","9.4205193160228","","","",""
""," Áncash, provincia: Antonio Raymondi","00 000 000 001 344","00 000 000 012 306","00 000 000 013 650","9.8461538461538","","","",""
""," Áncash, provincia: Asunción","00 000 000 001 177","00 000 000 006 201","00 000 000 007 378","15.952832746002","","","",""
""," Áncash, provincia: Bolognesi","00 000 000 002 790","00 000 000 021 007","00 000 000 023 797","11.724166911796","","","",""
""," Áncash, provincia: Carhuaz","00 000 000 004 998","00 000 000 040 186","00 000 000 045 184","11.061437677054","","","",""
""," Áncash, provincia: Carlos Fermín Fitzcarrald","00 000 000 002 050","00 000 000 015 667","00 000 000 017 717","11.57080769882","","","",""
""," Áncash, provincia: Casma","00 000 000 005 221","00 000 000 045 768","00 000 000 050 989","10.239463413677","","","",""
""," Áncash, provincia: Corongo","00 000 000 000 776","00 000 000 006 756","00 000 000 007 532","10.302708443972","","","",""
""," Áncash, provincia: Huaraz","00 000 000 017 659","00 000 000 146 277","00 000 000 163 936","10.771886589889","","","",""
""," Áncash, provincia: Huari","00 000 000 006 170","00 000 000 052 544","00 000 000 058 714","10.508566951664","","","",""
""," Áncash, provincia: Huarmey","00 000 000 003 382","00 000 000 027 178","00 000 000 030 560","11.066753926702","","","",""
""," Áncash, provincia: Huaylas","00 000 000 004 909","00 000 000 046 425","00 000 000 051 334","9.5628628199634","","","",""
""," Áncash, provincia: Mariscal Luzuriaga","00 000 000 002 659","00 000 000 017 625","00 000 000 020 284","13.108854269375","","","",""
""," Áncash, provincia: Ocros","00 000 000 000 908","00 000 000 006 131","00 000 000 007 039","12.899559596534","","","",""
